#K-Path      Energy-Level
# NKPTS & NBANDS:  12 136
# Band-Index    1
   0.68239     -6.249725
   0.60176     -6.474906
   0.52114     -6.448539
   0.44052     -6.468756
   0.44052     -6.468756
   0.35990     -6.484306
   0.27928     -6.425606
   0.27928     -6.425606
   0.18619     -6.471310
   0.09309     -6.261998
   0.00000     -6.252608
 
 
# Band-Index   77
   0.00000     -5.985176
   0.09309     -6.206772
   0.18619     -6.327900
   0.27928     -6.423401
   0.27928     -6.423401
   0.35990     -6.295815
   0.44052     -6.171187
   0.44052     -6.171187
   0.52114     -6.306730
   0.60176     -6.318164
   0.68239     -6.173558
   0.76301     -5.985176
 
 
# Band-Index   78
   0.76301     -5.984208
   0.68239     -6.128942
   0.60176     -6.261715
   0.52114     -6.305647
   0.44052     -6.170161
   0.44052     -6.170161
   0.35990     -6.267671
   0.27928     -6.369717
   0.27928     -6.369717
   0.18619     -6.311296
   0.09309     -6.182347
   0.00000     -5.984208
 
 
# Band-Index   79
   0.00000     -5.911406
   0.09309     -6.001950
   0.18619     -6.205680
   0.27928     -6.346417
   0.27928     -6.346417
   0.35990     -6.187340
   0.44052     -6.055641
   0.44052     -6.055641
   0.52114     -6.269039
   0.60176     -6.167857
   0.68239     -6.038275
   0.76301     -5.911406
 
 
# Band-Index   80
   0.76301     -5.911054
   0.68239     -5.840400
   0.60176     -6.021162
   0.52114     -6.058144
   0.44052     -6.050224
   0.44052     -6.050224
   0.35990     -6.092772
   0.27928     -6.117574
   0.27928     -6.117574
   0.18619     -6.018454
   0.09309     -5.874160
   0.00000     -5.911054
 
 
# Band-Index   81
   0.00000     -5.873484
   0.09309     -5.808961
   0.18619     -5.964619
   0.27928     -5.945269
   0.27928     -5.945269
   0.35990     -6.014728
   0.44052     -6.007746
   0.44052     -6.007746
   0.52114     -5.926017
   0.60176     -5.763063
   0.68239     -5.773515
   0.76301     -5.873484
 
 
# Band-Index   82
   0.76301     -5.699591
   0.68239     -5.680031
   0.60176     -5.652755
   0.52114     -5.631008
   0.44052     -5.824643
   0.44052     -5.824643
   0.35990     -5.795255
   0.27928     -5.775373
   0.27928     -5.775373
   0.18619     -5.754911
   0.09309     -5.598797
   0.00000     -5.699591
 
 
# Band-Index   83
   0.00000     -5.637885
   0.09309     -5.595236
   0.18619     -5.476278
   0.27928     -5.740887
   0.27928     -5.740887
   0.35990     -5.658120
   0.44052     -5.822693
   0.44052     -5.822693
   0.52114     -5.597168
   0.60176     -5.588125
   0.68239     -5.517246
   0.76301     -5.637885
 
 
# Band-Index   84
   0.76301     -5.463940
   0.68239     -5.515990
   0.60176     -5.434613
   0.52114     -5.570257
   0.44052     -5.504477
   0.44052     -5.504477
   0.35990     -5.444472
   0.27928     -5.462093
   0.27928     -5.462093
   0.18619     -5.408439
   0.09309     -5.532604
   0.00000     -5.463940
 
 
# Band-Index   85
   0.00000     -5.433318
   0.09309     -5.449747
   0.18619     -5.400621
   0.27928     -5.333449
   0.27928     -5.333449
   0.35990     -5.400880
   0.44052     -5.503863
   0.44052     -5.503863
   0.52114     -5.472764
   0.60176     -5.431826
   0.68239     -5.479808
   0.76301     -5.433318
 
 
# Band-Index   86
   0.76301     -5.433122
   0.68239     -5.355972
   0.60176     -5.240639
   0.52114     -5.401405
   0.44052     -5.386846
   0.44052     -5.386846
   0.35990     -5.399943
   0.27928     -5.281584
   0.27928     -5.281584
   0.18619     -5.317452
   0.09309     -5.349152
   0.00000     -5.433122
 
 
# Band-Index   87
   0.00000     -5.220385
   0.09309     -5.278449
   0.18619     -5.165532
   0.27928     -5.073646
   0.27928     -5.073646
   0.35990     -5.169710
   0.44052     -5.304169
   0.44052     -5.304169
   0.52114     -5.186096
   0.60176     -5.194002
   0.68239     -5.315871
   0.76301     -5.220385
 
 
# Band-Index   88
   0.76301     -5.144792
   0.68239     -5.231199
   0.60176     -5.177521
   0.52114     -5.091751
   0.44052     -5.018184
   0.44052     -5.018184
   0.35990     -5.159292
   0.27928     -5.061764
   0.27928     -5.061764
   0.18619     -5.129651
   0.09309     -5.163408
